name,text
aalto-university.md,# Aalto University
aalto-university.md,## Aalto University Research Data Management Policy
aalto-university.md,"The research data management policy aims to make data management easier for the individual researcher. Managing and curating data creates competitive edge, and allocating resources for that is a strategic choice of the university. The purposes of this policy are to (1) encourage to informed decision making in research data management and (2) define the principles used in the opening of publicly funded scientific research data to achieve wide societal impact and the strategic goals of Aalto University."
aalto-university.md,"The data management policy shall be implemented through conscious and strategic decisions. Open access publishing of research data aims to make research data easily discoverable, assessable, intelligible, usable and interoperable. Where applicable, these requirements can also be applied to data other than open access published research data, and to the software needed to handle the open data. The decisions to publish software, other than the software explicitly needed to handle the data, are done using the same conscious and strategic grounds as opening of the research data."
aalto-university.md,"Ownership of copyright protected research data is transferred to Aalto University if the data is created in an externally funded research project of Aalto University.  Strategic decisions about opening such data are done by the principal investigators. These decisions are done following the guidelines for ethical principles of research as well as the guidelines for responsible conduct of research, project agreements and guidelines for processing of personal data in scientific research,"
aalto-university.md,"Research data is not opened if the opening would violate privacy, safety, security, terms of project agreements or legitimate concerns of private partners. Researchers shall follow the ""Guideline on nondisclosure of information and information security classification at Aalto University"" and its appendix ""Rules on the handling of information materials""."
aalto-university.md,"When deciding on the opening of research data, the possibilities for commercially exploiting the research results and data are taken into consideration. Aalto University will make agreements about the user rights of third parties according to the strategic goals of the university. Aalto University may also charge a fee from third parties for the use of research data."
aalto-university.md,"Openness of scientific research data will increase the scientific impact of the research, speed up the adoption of research findings and the creation of innovations, enable transparency in science, as well as ensure that research data has wide societal impact and usability in solving global challenges."
aalto-university.md,"Opening access to research data shall be made easy for researchers and implemented in a cost-effective manner so that the resources invested are proportioned to the benefits attainable. An appropriate digital infrastructure will be made available to the researchers by combined European, national and Aalto University efforts."
aalto-university.md,"The Aalto University research data management policy applies to digital research materials produced, used and revised in research projects, i.e. research data. Physical materials on which research data are based shall be excluded from research data, along with the use of biological research materials. The concept of"
aalto-university.md,Aalto University Research Data
aalto-university.md,Management Policy
aalto-university.md,Decision by president of 10 February 2016
aalto-university.md,Appendix 1
aalto-university.md,"research data is not specified further in this policy, as the quality and quantity of research data that is chosen for open access publishing is also chosen using the criteria above. (As regards university document preservation, a data management plan (DMP) required by the Archives Act and the instructions provided by Aalto University’s Archive and Registry Services  shall be abided by.)"
aalto-university.md,"### Principles for open access publishing of research data (recommended to be acknowledged in data management in general, where applicable)"
aalto-university.md,#### 1. Discoverability
aalto-university.md,The location of research data and the necessary software to access the data is known and they are easily discoverable and identifiable by means of a standard international identification mechanism.
aalto-university.md,#### 2. Accessibility
aalto-university.md,"Research data and the necessary software to access the data shall be easily accessible, along with other necessary information to access the data, such as a mention of the concerned research areas."
aalto-university.md,"An embargo period can be agreed upon, to achieve strategic advantage for the creator. The embargo period is expressed in connection with the material."
aalto-university.md,"For the research data, a licensing framework has been selected for research and educational use and for commercial exploitation. The license recommended for research data is Creative Commons Attribution 4.0 International (CC BY 4.0) and the waiver recommended for metadata is CC0 1.0 Universal (CC0 1.0) Public Domain Dedication. The license recommended for software is the MIT Licence. Other licenses may be chosen to achieve the strategic goals of the research project. If research data is published using the CC BY 4.0 license, Aalto University and researchers obtain sufficient rights for the re-use of the data, even though the ownership of the research data is not transferred to the University. The terms of the CC BY 4.0 license require that the creators of the research data are attributed."
aalto-university.md,#### 3. Assessability and intelligibility
aalto-university.md,The research data and the necessary software to access the data shall be assessable for and intelligible to third parties for scientific scrutiny and peer review. Research data shall be published together with related scientific publications for the purposes of peer review. Research data shall be provided in a way that judgements can be made about its reliability and the competence of those who created it.
aalto-university.md,#### 4. Usability
aalto-university.md,"The research data and the necessary software to access the data shall also be usable for purposes beyond the original project. The research data chosen for long-term preservation shall be safely stored and curated to ensure its usability for wider needs than merely a highly specialised expert group. Whenever possible, certified repositories are used for research data preservation."
aalto-university.md,Research data shall be stored together with the minimum metadata and documentation to make it useful. Aalto University does not require the creator of the research data to offer support for further use of the data.
aalto-university.md,"When applicable and allowed by previous licenses, the necessary software will also be stored together with the research data."
aalto-university.md,#### 5. Interoperability
aalto-university.md,"The research data and the necessary software shall be produced in a manner that ensures their interoperability with applicable standards and special quality requirements. Interoperability shall be implemented in a way that allows data exchange between researcher groups, higher education institutions and research institutions in different countries. Interoperability will also allow for the re-combination of different datasets from different origins."
aalto-university.md,### Related documents and agreements
aalto-university.md,Finnish Advisory Board on Research Integrity (TENK): Ethical review in human sciences (TENK)
aalto-university.md,Responsible conduct of research (TENK)
aalto-university.md,"Guideline on non-disclosure of information and information security classification at Aalto University Classification of Information, Guidelines"
aalto-university.md,"Classification of Information, Rules on the Handling"
aalto-university.md,Examples of confidential data and IT services
